epoch, avg_reward, value_loss, policy_loss,
0, 172.50, 907.66, -16.22,
1,  67.50, 295.22,  -6.21,
2, 147.50, 665.56, -12.78,
3, 212.50, 983.80, -18.05,
4,  90.00, 372.72,  -7.13,
5, 242.50, 1133.08, -18.89,
6, 267.50, 1241.38, -19.52,
7, 275.00, 1220.29, -19.19,
8, 357.50, 1699.12, -21.48,
9, 485.00, 1671.82, -25.00,
10, 532.50, 1641.44, -20.95,
11, 585.00, 1617.12, -12.98,
12, 552.50, 1624.70,  -3.50,
13, 507.50, 2284.19,  -0.40,
14, 690.00, 2208.04, -13.79,
15, 650.00, 2263.66,  -3.62,
16, 590.00, 1922.41,   1.00,
17, 887.50, 2127.74, -13.18,
18, 840.00, 2621.86,  -1.85,
19, 872.50, 2553.24,  -3.27,
20, 1015.00, 2053.06,  -3.73,
21, 982.50, 2046.88,  -0.43,
22, 985.00, 2014.75,  -1.32,
23, 822.50, 2297.84,   1.66,
24, 665.00, 2784.88,   2.64,
25, 800.00, 2626.39,  -5.12,
26, 842.50, 2362.72,  -4.39,
27, 855.00, 1986.97,  -1.41,
28, 950.00, 1523.74,  -2.22,
29, 990.00, 1570.12,  -1.24,
30, 857.50, 2161.35,  -0.11,
31, 940.00, 2019.40,  -1.61,
32, 665.00, 3038.62,   3.65,
33, 1007.50, 1737.43, -11.55,
34, 1012.50, 1774.06,  -1.51,
35, 1160.00, 1816.83,  -2.88,
36, 1135.00, 2056.36,  -0.60,
37, 1082.50, 2125.88,  -0.44,
38, 1142.50, 2017.14,  -1.25,
39, 1180.00, 2025.32,  -1.55,
40, 1182.50, 1934.26,  -1.14,
41, 1192.50, 2101.26,  -0.60,
42, 1197.50, 1843.51,  -0.46,
43, 1197.50, 1891.39,  -0.62,
44, 1197.50, 2251.76,  -1.00,
45, 1187.50, 2306.14,  -1.00,
46, 1207.50, 2267.66,  -1.06,
47, 1217.50, 2254.74,  -0.16,
48, 1197.50, 2220.52,  -1.12,
49, 1207.50, 2282.80,  -1.09,
